Created On,Name,Title,Order Count,Clicks,Order Volume,Commissions Earned,Affiliate Merchant,Short URL,Collection Name,Collection URL,URL
09/06/2025,Tiffany Wendel Stylist,-,-,-,-,-,Gianvito Rossi,https://go.shopmy.us/p-24689524,-,-,https://www.gianvitorossi.com/us_en/woman/shoes/sandals/tamara/G32636.85RIC.NSMMROR_38.html?utm_source=google&utm_medium=cpc&utm_campaign=2023_US_PMAX&utm_source=google&utm_medium=cpc&utm_campaign=LOWER_PURC_AMERICAS_US-EN_ALW_ADW_BRAN_PMAX&gad_source=1&gad_campaignid=19868987435&gbraid=0AAAAAoR9z27ip2ziy9Zsm41-xgmxRwB6R
09/05/2025,Tiffany Wendel Stylist,Clothilde Blouse,-,1,-,-,-,https://go.shopmy.us/p-24667099,-,-,https://maisonmayle.com/collections/frontpage/products/clothilde-blouse
09/05/2025,Tiffany Wendel Stylist,Tie Rite Top Sandwashed Silk,-,5,-,-,Rachel Comey,https://go.shopmy.us/p-24665251,-,-,https://rachelcomey.com/products/tie-rite-top-sandwashed-silk
09/05/2025,Tiffany Wendel Stylist,Rior Blazer,-,4,-,-,Rachel Comey,https://go.shopmy.us/p-24665104,-,-,https://rachelcomey.com/products/rior-blazer-cresposo?variant=52029146956148
09/05/2025,Tiffany Wendel Stylist,Rior Blazer,-,4,-,-,Rachel Comey,https://go.shopmy.us/p-24664840,-,-,https://rachelcomey.com/products/rior-blazer-moreen
09/05/2025,Tiffany Wendel Stylist,Isarco Dress Flapper,-,4,-,-,Rachel Comey,https://go.shopmy.us/p-24664577,-,-,https://rachelcomey.com/products/isarco-dress-flapper
09/05/2025,Tiffany Wendel Stylist,Embroidered Floral Plissé Tulle Cape,-,-,-,-,Mytheresa,https://go.shopmy.us/p-24651605,its all about the cape,https://shopmy.us/collections/2283736,https://www.mytheresa.com/us/en/women/toteme-embroidered-floral-plisse-tulle-cape-black-p01075205
09/05/2025,Tiffany Wendel Stylist,Toteme Embroidered Floral Plisse Tulle Cape Black,-,2,-,-,Mytheresa,https://go.shopmy.us/p-24651485,-,-,https://www.mytheresa.com/us/en/women/toteme-embroidered-floral-plisse-tulle-cape-black-p01075205
09/05/2025,Tiffany Wendel Stylist,Elsadenimelsa,-,-,-,-,Jeanerica,https://go.shopmy.us/p-24648634,Fitted Jacket Baggy Pants Please,https://shopmy.us/collections/2283269,https://jeanerica.com/aw25-womens-selection/elsa-denim
09/05/2025,Tiffany Wendel Stylist,Alex Denim,-,1,-,-,Jeanerica,https://go.shopmy.us/p-24648351,Fitted Jacket Baggy Pants Please,https://shopmy.us/collections/2283269,https://jeanerica.com/man/alex-denim
