period,reporting_days,period_note,clicks,orders,items,commissions,commission_per_day,commission_per_order,items_per_order,order_conversion_rate
Preceding 60 days,60,Derived as last 90 days minus last 30 days,44322.0,1066.0,1832.0,10548.70,175.8116666666666666666666667,9.895590994371482176360225141,1.718574108818011257035647280,2.405126122467397680610080773
Latest 30 days,30,Supplied last-30-days view,17767.0,399.0,1050.0,8433.73,281.1243333333333333333333333,21.13716791979949874686716792,2.631578947368421052631578947,2.245736477739629650475600833
